Draw Date,White Balls,MegaBall,Jackpot
05/05/2020,7 13 17 21 45,14,$215 Million
05/01/2020,28 30 31 35 66,14,$200 Million
04/28/2020,13 19 53 54 63,17,$186 Million
04/24/2020,1 27 32 60 67,18,$174 Million
04/21/2020,13 15 24 67 70,17,$164 Million
04/17/2020,13 35 39 46 55,14,$159 Million
04/14/2020,29 47 65 69 70,7,$145 Million
04/10/2020,2 11 21 57 60,13,$136 Million
04/07/2020,25 33 43 51 68,20,$127 Million
04/03/2020,24 38 44 57 58,17,$121 Million
03/31/2020,8 17 51 57 70,2,$113 Million
03/27/2020,3 25 28 50 60,1,$107 Million
03/24/2020,2 8 16 18 31,14,$101 Million
03/20/2020,34 35 41 45 54,5,$96 Million
03/17/2020,20 27 28 58 59,25,$90 Million
03/13/2020,7 22 37 43 44,22,$80 Million
03/10/2020,6 17 48 54 69,12,$75 Million
03/06/2020,15 48 56 58 70,4,$70 Million
03/03/2020,8 12 33 56 64,2,$65 Million
02/28/2020,2 3 14 41 64,17,$60 Million
02/25/2020,2 9 43 49 63,15,$55 Million
02/21/2020,4 7 13 16 60,6,$50 Million
02/18/2020,6 12 39 61 70,4,$45 Million
02/14/2020,10 32 48 54 55,18,$40 Million
02/11/2020,4 6 32 52 64,6,$202 Million
02/07/2020,9 14 27 36 52,4,$187 Million
02/04/2020,32 48 50 51 64,10,$168 Million
01/31/2020,28 31 33 57 62,19,$155 Million
01/28/2020,17 36 47 51 62,21,$141 Million
01/24/2020,3 4 18 23 38,24,$130 Million
01/21/2020,16 18 29 31 37,8,$116 Million
01/17/2020,3 25 30 54 70,9,$103 Million
01/14/2020,9 11 13 31 47,11,$91 Million
01/10/2020,17 27 49 51 66,2,$80 Million
01/07/2020,25 40 41 52 56,21,$69 Million
01/03/2020,37 41 42 53 63,16,$60 Million
12/31/2019,30 44 49 53 56,11,$55 Million
12/27/2019,17 34 40 63 64,24,$50 Million
12/24/2019,27 37 48 63 66,11,$45 Million
12/20/2019,3 20 23 35 60,16,$40 Million
12/17/2019,22 30 53 55 56,16,$372 Million
12/13/2019,17 21 29 39 56,22,$340 Million
12/10/2019,18 31 46 54 61,25,$314 Million
12/06/2019,20 31 40 46 61,20,$285 Million
12/03/2019,23 43 60 63 69,19,$266 Million
11/29/2019,6 8 31 50 65,9,$243 Million
